Price,date,Close,High,Low,Open,Volume
Ticker,,NVDA,NVDA,NVDA,NVDA,NVDA
0,01-11-2024,135.3611908,137.2706471,134.5314421,134.6613945,207127800
1,04-11-2024,136.0110016,138.920171,135.5311435,137.1706727,187528200
2,05-11-2024,139.8698883,140.3297479,137.2906262,137.4105869,160537400
3,06-11-2024,145.5682678,146.4480205,141.91932,142.9190334,242043900
4,07-11-2024,148.837326,148.8872995,146.1280962,146.3480344,207323300
5,08-11-2024,147.587677,149.7270628,146.2180594,148.7273495,175665800
6,11-11-2024,145.2183533,148.8073357,143.5288506,148.637371,182325600
7,12-11-2024,148.247467,149.6070776,145.9681221,146.7379056,198634700
8,13-11-2024,146.2280884,149.287209,145.858184,149.027289,191903300
9,14-11-2024,146.717926,148.9572894,145.5082814,147.5976787,194463300
10,15-11-2024,141.9392853,145.1983603,140.0398362,144.828456,250132900
11,18-11-2024,140.1098022,141.5094099,137.1106626,139.4599948,221205300
12,19-11-2024,146.9678497,147.0878257,140.9495865,141.2794938,227834900
13,20-11-2024,145.848175,147.5176945,142.6890773,147.3677436,309871700
14,21-11-2024,146.6279602,152.8461787,140.6596701,149.3072,400946600
15,22-11-2024,141.909317,147.1178307,141.0595698,145.8881722,236406200
16,25-11-2024,135.9810028,142.0092726,135.7810632,141.9492922,344941900
17,26-11-2024,136.8807526,139.2600753,135.6311109,137.6605278,190287700
18,27-11-2024,135.3011932,137.1806591,131.7622149,134.971286,226370900
19,29-11-2024,138.2103729,139.3100637,136.0110066,136.7407931,141863200
20,02-12-2024,138.590271,140.4097414,137.7805056,138.7902106,171682800
21,03-12-2024,140.2198029,140.4997214,137.9104672,138.220376,164414000
22,04-12-2024,145.0983887,145.7481962,140.249773,141.9592895,231224300
23,05-12-2024,145.0284119,146.5080853,143.9186529,145.078404,172621200
24,06-12-2024,142.4089966,145.6682815,141.2792377,144.5685301,188505600
25,09-12-2024,138.7797546,139.9195057,137.100128,138.9397234,189308600
26,10-12-2024,135.0405884,141.7891182,133.7608531,138.9797174,210020900
27,11-12-2024,139.2796478,140.1394611,135.1805502,137.3300757,184905200
28,12-12-2024,137.3100891,138.4098557,135.7704312,137.0501512,159211400
29,13-12-2024,134.2207642,139.5696052,132.5111298,138.9097453,231514900
30,16-12-2024,131.9712372,134.3707081,130.3915796,134.1507548,237951100
31,17-12-2024,130.3616028,131.5613384,126.8323728,129.0618828,259410300
32,18-12-2024,128.8819275,136.6702241,128.2520598,133.8308463,277444500
33,19-12-2024,130.6515198,134.000796,129.5217764,131.7312863,209719200
34,20-12-2024,134.6706543,135.2505298,128.1920702,129.7817201,306528600
35,23-12-2024,139.6395721,139.7595411,135.0905603,136.2503112,176053500
36,24-12-2024,140.1894684,141.8690952,138.6198029,139.9695151,105157000
37,26-12-2024,139.8995209,140.819334,137.700003,139.6695752,116205600
38,27-12-2024,136.9801483,138.9897202,134.6806616,138.5198214,170582600
39,30-12-2024,137.4600525,140.2394456,133.9908072,134.8006283,167734700
40,31-12-2024,134.2607574,138.0399485,133.8008661,137.9999487,155659200
41,02-01-2025,138.2798767,138.8497599,134.6006855,135.9703822,198247200
42,03-01-2025,144.4385376,144.8684366,139.6995644,139.9795022,229322500
43,06-01-2025,149.3974457,152.126862,147.787811,148.5576323,265377400
44,07-01-2025,140.1094666,153.0966419,139.97949,152.9966575,351782200
45,08-01-2025,140.079483,143.918643,137.5300354,142.5489463,227349900
46,10-01-2025,135.8804169,139.8895384,134.1907823,137.4200749,207602500
47,13-01-2025,133.2009888,133.4609419,129.4817975,129.9617039,204808900
48,14-01-2025,131.7312927,136.3502967,130.0216738,136.0203668,195590500
49,15-01-2025,136.2103424,136.4202881,131.2614079,133.6208947,185217300
50,16-01-2025,133.5409088,138.719773,133.4609244,138.6097964,209235600
51,17-01-2025,137.6800079,138.4698291,135.4304981,136.6602259,201188800
52,21-01-2025,140.7993317,141.7991139,137.0601407,139.1296972,197749000
53,22-01-2025,147.0379944,147.7578236,143.6387253,144.6285153,237651400
54,23-01-2025,147.1879425,147.1979348,143.6887047,145.0184169,155915500
55,24-01-2025,142.5889282,148.9375511,141.8490992,148.3376757,234657600
56,27-01-2025,118.3942108,128.3720333,116.6745841,124.7728264,818830900
57,28-01-2025,128.9619141,128.9719064,116.2246831,121.7834698,579666400
58,29-01-2025,123.6730576,126.8623653,120.0238586,126.4724508,467120600
59,30-01-2025,124.6228561,124.9727784,118.0742795,123.0731906,392925500
60,31-01-2025,120.0438538,127.8221584,119.1640481,123.753045,388161100
61,03-02-2025,116.6345978,118.5441779,112.9853911,114.7250101,371235700
62,04-02-2025,118.6241608,121.1736008,116.6745809,116.9345264,256550000
63,05-02-2025,124.8028107,124.9727718,120.7336975,121.7334797,262230800
64,06-02-2025,128.6519623,128.7419543,125.1827246,127.3922422,251483600
65,07-02-2025,129.8117218,130.3416052,124.9727794,129.1918617,228186300
66,10-02-2025,133.5409088,134.97059,129.9316946,130.061656,216989100
67,11-02-2025,132.7710876,134.4507145,130.9914764,132.5511343,178902400
68,12-02-2025,131.1114349,132.2112014,129.0518861,129.9916838,160278600
69,13-02-2025,135.2605286,136.4702718,131.1414307,131.5313452,197430000
70,14-02-2025,138.8197632,139.21967,135.4704867,136.450269,195479600
71,18-02-2025,139.3696442,143.4087731,137.899963,141.2392474,219176600
72,19-02-2025,139.1996765,141.3292176,137.1901197,139.4796143,167536000
73,20-02-2025,140.079483,140.6293663,136.7601988,139.9994986,143903600
74,21-02-2025,134.4007111,141.4291938,134.0008043,140.0094897,228217600
75,24-02-2025,130.2516327,138.5598209,130.0516793,136.5302641,251381100
76,25-02-2025,126.602417,130.1716391,124.4128992,129.9516858,271428700
77,26-02-2025,131.2514191,133.7008827,128.4620332,129.9617066,322553800
78,27-02-2025,120.1238327,134.9805892,119.9838638,134.9705968,443175800
79,28-02-2025,124.8927917,125.0627529,116.3746507,117.994293,389091100
80,03-03-2025,114.0351563,123.6730561,112.2555451,123.4831027,411381400
81,04-03-2025,115.9647369,119.2840136,110.0860203,110.6259036,398163300
82,05-03-2025,117.2744522,118.2542345,114.485059,117.55439,284337900
83,06-03-2025,110.5459213,115.3248792,110.1959991,113.5052758,321181900
